Fifty(s), 50
Twenty(s), 20
Ten(s), 10
Five(s), 5
One(s), 1
50 pence, 0.20
20 pence, 0.20
10 pence, 0.10
5 pence, 0.05
2 pence, 0.02
1 pence, 0.01
