One-hundred(s), 100
Fifty(s), 50
Twenty(s), 20
Ten(s), 10
Five(s), 5
One(s), 1
25 cent(s), 0.20
10 cent(s), 0.10
5 cent(s), 0.05
1 cent(s), 0.01
